split,idx,symptoms,herbs,top_eight,top_zangfu,active_eight,active_zangfu
train,0,头痛、咳嗽,荆芥、蝉蜕、连翘、牛蒡子、金银花、牛蒡、薄荷、葛根,表,肺,3,4
train,1,阴疮,黄连、黄柏,热,肾,3,4
train,2,咳嗽、寒热往来,生地黄,阴,肺,4,3
train,3,舌干、口苦,牡蛎、知母、黄连、瓜蒌、白扁豆,阴,肝,4,5
train,4,腹痛,甘草、当归、枳壳、五味子,虚,脾,3,3
train,5,壮热,熊胆、马齿苋、黄连、芦荟,热,肝,3,4
train,6,鼻衄、吐血,萝卜,热,肺,3,3
train,7,身痛、恶寒、口渴、咳嗽,桑、甘草、陈皮、黄柏、升麻、白扁豆、地骨皮、茯苓、苍术、桑白皮、厚朴、香薷、葛根,表,肺,4,4
train,8,瘫痪,桑、川芎、白芷、浮萍、甘松、苦参、苍术、桑白皮、麻黄,实,肺,4,4
train,9,吐血,黄芩,热,肝,2,3
train,10,潮热,甘草、天麻、全蝎、人参、钩藤,虚,肝,3,3
train,11,呕吐,知母、芦根、栀子、人参、黄芩、茯苓、麦门冬、石膏,里,胃,4,5
train,12,无名肿毒,槐花,热,大肠,2,3
train,13,烦躁,甘草、黄连、升麻、茯苓、朱砂、犀角、麦门冬、牛黄,热,心,4,3
train,14,崩中,生姜、艾叶、甘草、赤石脂、生地黄,热,肝,4,4
train,15,烦躁,防风、白鲜皮、甘草、天麻、龙齿、远志、人参、升麻、天竺黄、羚羊角、麝香、朱砂、犀角、麦门冬、独活、牛黄,热,心,4,3
train,16,心悸、头晕、自汗、胸闷,太子参、甘草、当归、黄芪、甘松、炙甘草、西洋参、麦冬、五味子,虚,心,5,4
train,17,吐血,川芎、当归、大黄、白芍,热,肝,3,3
train,18,难产,麝香,实,心,3,4
train,19,恶心、呕吐,川芎、甘草、陈皮、青皮、连翘、黄芩、橘叶、柴胡、石膏,里,肝,3,5
train,20,瘰疬,桑、桑寄生、甘草、乳香、大黄、射干、连翘、丁香、升麻、木通、沉香、木香、独活,热,肝,4,6
train,21,呕吐,生姜、枇杷、甘草、桔梗、藿香、枇杷叶、茯苓、附子、砂仁、半夏、橘红、香附,寒,胃,4,4
train,22,大便下血、白带,滑石,热,膀胱,3,4
train,23,转筋、崩漏、腹冷、胎动不安,艾叶,寒,脾,3,3
train,24,麻疹,荆芥、防风、甘草、当归、芍药、升麻、炙甘草,表,肺,4,4
